Year,Number_of_Murders,Number_of_Deathrow_Inmate_Offences
1974,1652,17
1975,1639,5
1976,1519,7
1977,1705,8
1978,1853,4
1979,2235,10
1980,2392,14
1981,2446,15
1982,2466,18
1983,2239,14
1984,2093,22
1985,2132,13
1986,2258,23
1987,1959,34
1988,2022,18
1989,2029,30
1990,2389,16
1991,2652,16
1992,2239,19
1993,2147,24
1994,2022,34
1995,1693,29
1996,1477,17
1997,1327,14
1998,1346,25
1999,1217,29
2000,1238,15
2001,1332,16
2002,1302,19
2003,1422,12
2004,1364,6
2005,1407,3
2006,1384,3
2007,1420,2
2008,1370,1
2009,1330,1
